id,code,category1,category2,category3,categoryName1,categoryName2,categoryName3,image,price,fullName
2920660,ao-kieu-from-dai-chat-dep,8,8,11,Thời trang nữ,Áo nữ,Áo kiểu,https://media3.scdn.vn/img3/2019/9_15/VZTXE7_simg_b5529c_250x250_maxb.jpg,79.000đ,áo from dài chất liệu cao cấp siêu đẹp
1885579,tui-deo-may-tinh-bang-da-cao-cap-praza-dc013,1722,1722,1748,Túi xách,Túi xách nam,Túi đeo chéo nam,https://media3.scdn.vn/img1/2015/6_21/daf474_simg_3a37a6_674-674-80-35_cropf_simg_b5529c_250x250_maxb.jpg,249.000đ,DCS0013 - Túi Đeo Máy Tính Bảng Da Cao Cấp PRAZA
2633702,ao-nguc-7-kieu-cao-cap,8,8,53,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Áo ngực,https://media3.scdn.vn/img2/2018/7_17/dfxetA_simg_b5529c_250x250_maxb.jpg,90.000đ
2820971,kinh-thuc-te-ao-3d-vr-box,528,528,1430,Phụ kiện công nghệ,Thiết bị đeo công nghệ,Mắt kính thông minh,https://media3.scdn.vn/img2/2017/7_11/nxJjo0_simg_b5529c_250x250_maxb.png,59.000đ,kính thực tế ảo 3d vr box
1195418,s067-set-ao-lot-ren-goi-cam-va-quan-khong-day-cuc-hot,8,8,56,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Đồ lót bộ,https://media3.scdn.vn/img2/2018/7_22/wbvTMG_simg_b5529c_250x250_maxb.png,22.000đ - 150.000đ
1847537,ao-kieu-hang-thiet-ke-cao-cap-loai-i,8,8,10,Thời trang nữ,Áo nữ,Áo sơ mi công sở,https://media3.scdn.vn/img3/2019/2_24/74zWH8_simg_b5529c_250x250_maxb.jpg,240.000đ,áo kiểu nữ hàng thiết kế cao cấp
2863509,giay-bata-ca-ro-co-cao,1686,1686,1777,Giày dép,Giày nữ,Giày sneaker nữ,https://media3.scdn.vn/img2/2016/9_20/XaYGcs_simg_44dc4d_500-500-129-8_cropf_simg_b5529c_250x250_maxb.jpg,249.000đ,Giay boot nữ cổ cao cá tính B042T
1970447,giay-the-thao-nam-sieu-nhe,1686,1686,1789,Giày dép,Giày thể thao chuyên dụng,Giày thể thao nam,https://media3.scdn.vn/img3/2019/4_7/A1PEPC_simg_b5529c_250x250_maxb.jpg,550.000đ,GIÀY THỂ THAO NAM SIÊU NHẸ TRẮNG
2120706,quan-nu-thoi-trang-co-gian-chat-dep-q330,8,8,648,Thời trang nữ,Quần nữ,Quần kaki,https://media3.scdn.vn/img1/2016/7_7/SZjhYB_simg_b5529c_250x250_maxb.jpg,189.000đ,Quần Jean Nam Thời Trang Co giãn chất đẹp - QJ5
2370825,ao-khoac-len-nu-thu-dong-form-dai-gl18-hang-nhap-cao-cap-y-hinh,8,8,669,Thời trang nữ,Áo khoác,"Áo khoác len, cardigan",https://media3.scdn.vn/img2/2018/5_1/f56mMs_simg_b5529c_250x250_maxb.jpg,189.000đ
892536,ao-thun-tron-unisex-nam-nu-velvet-can-gio-hang-vnxk-cao-cap,94,94,310,Thời trang nam,"Áo thun, áo polo nam",Áo thun không cổ,https://media3.scdn.vn/img3/2019/3_13/Wa2w5o_simg_b5529c_250x250_maxb.jpeg,80.000đ
2937002,ao-dai-cach-tan,8,8,11,Thời trang nữ,Áo nữ,Áo kiểu,https://media3.scdn.vn/img3/2018/12_20/U08Vqk_simg_b5529c_250x250_maxb.jpg,295.000đ,áo dài cách tân
2643215,bb032-quan-ao-cho-bup-be-ken,1458,1458,1479,Đồ chơi,"Búp bê, thú bông",Búp bê,https://media3.scdn.vn/img1/2016/8_6/nf8mwo_simg_aba04a_968-968-0-0_cropf_simg_b5529c_250x250_maxb.jpg,25.000đ
2916350,quan-short-jeans-phoi-tui-cuc-chat,8,8,22,Thời trang nữ,Quần nữ,Quần ngắn,https://media3.scdn.vn/img3/2019/5_19/kIJyKB_simg_b5529c_250x250_maxb.jpg,135.000đ,Quần short jeans nam cực chất
1100413,giay-boot-co-thap-chat-da-phoi-thun-msp-2146,1686,1686,1698,Giày dép,Giày nữ,Giày bốt nữ,https://media3.scdn.vn/img2/2018/5_9/nZCXIt_simg_b5529c_250x250_maxb.jpg,340.000đ,Giày Boot da cổ thấp phối lưới
2616684,tai-nghe-monster-beats-solo-hd-day-ro-i,528,528,1397,Phụ kiện công nghệ,Thiết bị âm thanh,Tai nghe,https://media3.scdn.vn/img3/2019/4_17/jtsLKl_simg_b5529c_250x250_maxb.jpg,5.950.000đ,TAI BLUETOOTH NGHE BEATS SOLO 3 WIRELESS
2240859,tui-deo-cheo-tx0076,1722,1722,1732,Túi xách,Túi xách nữ,Túi đeo chéo nữ,https://media3.scdn.vn/img1/2015/10_6/740c5d_simg_b5529c_250x250_maxb.jpg,130.000đ,Túi đeo chéo TX0076
2251478,quan-lot-gen-bung-dinh-hinh-eo-va-mong-lam-thon-gon-dang-tb-247,8,8,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://media3.scdn.vn/img3/2019/6_27/2ofKq0_simg_b5529c_250x250_maxb.jpg,75.000đ
2824669,ao-dai-cach-tan-in-hoa-tiet-co,8,8,11,Thời trang nữ,Áo nữ,Áo kiểu,https://media3.scdn.vn/img3/2018/12_19/4ZNZXa_simg_b5529c_250x250_maxb.jpg,412.000đ,ÁO DÀI CÁCH TÂN IN HỌA TIẾT CÔ GÁI VÀ HOA SEN
1883662,noi-ap-suat-dien-supor-spc50ya310-50l,1108,1108,1121,Đồ điện gia dụng,"Thiết bị nhà bếp, chế biến",Nồi áp suất điện,https://media3.scdn.vn/img2/2018/8_27/Cm6c6H_simg_b5529c_250x250_maxb.jpg,1.899.000đ
1882998,ao-hoa-bi-va-quan-set03-co-anh-that,8,8,1403,Thời trang nữ,"Set trang phục, jumpsuit",Áo và quần culottes,https://media3.scdn.vn/img2/2018/5_17/ej6ZE2_simg_b5529c_250x250_maxb.jpg,310.000đ
2870671,dien-thoai-htc-butterfly-2-trang,1663,1663,1665,Công nghệ,Thiết bị di động,Điện thoại di động,https://media3.scdn.vn/img3/2019/9_11/cp7Vkj_simg_b5529c_250x250_maxb.jpg,1.090.000đ,"Điện Thoại HTC Butterfly 2 - Chơi Game Liên Quân Mượt 
2282349,dong-ho-movado-lac-sieu-sang,1366,1366,1375,Đồng hồ,Đồng hồ nữ,"Đồng hồ vòng tay, lắc dây",https://media3.scdn.vn/img3/2019/2_28/uLhJeS_simg_b5529c_250x250_maxb.jpg,400.000đ
2374440,gel-boi-tron-goc-nuoc-pardus-malaysia-50g,220,220,1335,Sức khỏe & Làm đẹp,Sản phẩm hỗ trợ tình dục,Sản phẩm bôi trơn,https://media3.scdn.vn/img3/2019/9_11/qNjAVM_simg_b5529c_250x250_maxb.jpg,47.000đ,Gel Bôi Trơn gốc nước Rocmen 50g
2461761,giay-tang-chieu-cao-nike-air-max-hang-nhap-si-le-giay-the-thao,1686,1686,1784,Giày dép,Giày nam,Giày sneaker nam,https://media3.scdn.vn/img3/2019/5_11/Jykckm_simg_b5529c_250x250_maxb.jpg,1.250.000đ,"GIÀY NAM
2895941,ao-so-mi-nam-han-quoc-bs080,94,94,1667,Thời trang nam,Áo sơ mi nam,Sơ mi tay dài,https://media3.scdn.vn/img2/2018/3_8/x7jQxR_simg_b5529c_250x250_maxb.jpg,99.000đ,Áo sơ mi nam hàn quốc
2029469,quan-lot-khe-sexy-dl67,8,8,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://media3.scdn.vn/img3/2019/4_26/qguoQT_simg_b5529c_250x250_maxb.jpg,45.000đ
1460639,chan-vay-tennis-xep-ly,8,8,35,Thời trang nữ,Chân váy,Váy ngắn,https://media3.scdn.vn/img2/2018/7_29/dBac7C_simg_b5529c_250x250_maxb.jpg,125.000đ,Chân váy tennis xếp ly
2464345,lens-chu-p-hi-nh-3-in-1-cho-dien-thoa-i,528,528,1393,Phụ kiện công nghệ,Phụ kiện Điện thoại,Lens chụp hình,https://media3.scdn.vn/img2/2018/5_7/zAUEBy_simg_b5529c_250x250_maxb.jpg,24.000đ,LENS CHỤP HÌNH 3 IN 1 CHO ĐIỆN THOẠI.
2058105,ao-khoac-len-nam-phong-cach,94,94,680,Thời trang nam,Áo khoác nam,"Áo khoác len, cardigan",https://media3.scdn.vn/img1/2016/8_12/zUzcMm_simg_b5529c_250x250_maxb.jpg,320.000đ
2224139,mat-na-hacker-anonymous-guy-fawkes,1458,1458,1510,Đồ chơi,"Hóa trang, cosplay",Mặt nạ,https://media3.scdn.vn/img2/2017/7_21/rqNJd1_simg_b5529c_250x250_maxb.jpg,25.000đ
2178617,quan-lot-khe-nu-xinh-xan-dl95-6-mau,8,8,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://media3.scdn.vn/img1/2016/3_25/0fbc9a_simg_abbb57_1280-1280-0-0_cropf_simg_b5529c_250x250_maxb.jpg,40.000đ
1024819,dam-xep-ly-ngang-quyen-ru-ds166,8,8,698,Thời trang nữ,"Đầm, váy",Đầm ôm,https://media3.scdn.vn/img2/2018/4_7/nm1Lzo_simg_b5529c_250x250_maxb.jpg,66.000đ
1441099,a070-ao-da-trong-suot-mau-nude-sexy-hinh-hoa-hong-quyen-ru,8,8,61,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Sản phẩm khác,https://media3.scdn.vn/img3/2019/4_1/Jkl2Mq_simg_b5529c_250x250_maxb.jpg,63.000đ
1131633,giay-nam-ca-sau-g100,1686,1686,1784,Giày dép,Giày nam,Giày sneaker nam,https://media3.scdn.vn/img3/2019/1_14/TTMjAs_simg_b5529c_250x250_maxb.jpg,399.000đ,Giày Nam Vân Cá Sấu
